
> Configure project :app
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:49:5: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:49:19: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:49:20: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:49:28: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:49:29: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:49:33: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:49:34: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:49:42: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:49:43: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:49:50: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:49:51: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:49:54: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:49:55: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:50:5: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:50:19: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:50:20: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:50:24: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:50:25: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:50:33: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:50:34: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:50:41: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:50:42: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:50:44: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:51:5: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:51:19: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:51:20: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:51:24: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:51:25: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:51:33: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:51:34: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:51:41: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:51:42: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:51:44: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:51:45: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:51:53: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:52:5: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:52:19: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:52:20: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:52:24: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:52:25: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:52:33: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:52:34: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:52:41: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:52:42: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:52:44: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:52:45: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:52:52: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:52:53: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:52:60: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:53:5: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:53:19: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:53:20: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:53:24: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:53:25: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:53:33: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:53:34: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:53:41: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:53:42: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:53:51: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:56:5: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:56:19: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:56:20: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:56:24: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:56:25: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:56:33: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:56:34: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:56:38: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:56:39: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:56:46: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:57:5: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:57:19: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:57:20: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:57:24: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:57:25: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:57:33: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:57:34: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:57:38: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:57:39: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:57:42: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:58:5: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:58:19: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:58:20: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:58:24: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:58:25: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:58:35: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:58:36: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:58:43: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:59:5: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:59:8: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:59:9: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:59:13: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:59:14: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:59:22: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:59:23: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:59:27: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:59:28: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:59:36: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:62:5: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:62:19: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:62:20: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:62:24: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:62:25: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:62:33: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:62:34: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:62:43: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:62:44: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:62:55: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:65:5: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:65:19: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:65:20: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:65:24: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:65:25: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:65:33: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:65:34: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:65:44: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:65:45: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:65:52: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:68:5: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:68:19: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:68:20: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:68:24: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:68:25: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:68:33: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:68:34: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:68:43: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:68:44: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:68:53: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:68:54: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:68:61: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:71:5: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:71:19: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:71:20: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:71:24: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:71:25: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:71:33: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:71:34: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:71:41: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:71:42: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:71:50: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:71:51: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:71:56: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:71:57: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:71:65: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:73:5: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:73:23: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:73:24: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:73:28: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:73:29: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:73:34: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:74:5: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:74:30: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:74:31: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:74:35: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:74:36: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:74:44: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:74:45: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:74:50: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:75:5: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:75:30: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:75:31: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:75:35: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:75:36: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:75:44: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:75:45: Unexpected symbol
